Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Bottoms Up,Strength,Abdominals,Bodyweight,Intermediate,Core,E00184,Endurance,Isolation,Bodyweight
Spider crawl,Strength,Abdominals,Bodyweight,Intermediate,Core,E00185,FatLoss,Isolation,Bodyweight
Cocoons,Strength,Abdominals,Bodyweight,Intermediate,Core,E00186,Endurance,Isolation,Bodyweight
Cross-Body Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00187,FatLoss,Isolation,Bodyweight
Elbow-to-knee crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00188,Endurance,Isolation,Bodyweight
Decline Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00189,FatLoss,Isolation,Bodyweight
Hanging toes-to-bar,Strength,Abdominals,Bodyweight,Intermediate,Core,E00190,Endurance,Isolation,Bodyweight
Hanging Oblique Knee Raise,Strength,Abdominals,Bodyweight,Intermediate,Core,E00191,Endurance,Isolation,Bodyweight
Gorilla Chin/Crunch,Strength,Abdominals,Bodyweight,Beginner,Core,E00192,FatLoss,Isolation,Bodyweight
Hanging leg raise,Strength,Abdominals,Bodyweight,Intermediate,Core,E00193,Endurance,Isolation,Bodyweight
Ab bicycle,Strength,Abdominals,Bodyweight,Intermediate,Core,E00194,FatLoss,Isolation,Bodyweight
3/4 sit-up,Strength,Abdominals,Bodyweight,Intermediate,Core,E00195,Endurance,Isolation,Bodyweight
Reverse crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00196,Endurance,Isolation,Bodyweight
Crunches,Strength,Abdominals,Bodyweight,Intermediate,Core,E00197,FatLoss,Isolation,Bodyweight
Dead bug reach,Strength,Abdominals,Bodyweight,Intermediate,Core,E00198,Endurance,Isolation,Bodyweight
Crunch - Hands Overhead,Strength,Abdominals,Bodyweight,Beginner,Core,E00199,FatLoss,Isolation,Bodyweight
V-up,Strength,Abdominals,Bodyweight,Intermediate,Core,E00200,Endurance,Isolation,Bodyweight
Russian twist,Strength,Abdominals,Bodyweight,Intermediate,Core,E00201,FatLoss,Isolation,Bodyweight
Flat Bench Lying Leg Raise,Strength,Abdominals,Bodyweight,Intermediate,Core,E00202,Endurance,Compound,Bodyweight
Knees tucked crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00203,FatLoss,Isolation,Bodyweight
Butt-Ups,Strength,Abdominals,Bodyweight,Beginner,Core,E00204,Endurance,Isolation,Bodyweight
Feet-elevated oblique crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00205,Endurance,Isolation,Bodyweight
Bent-knee reverse crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00206,FatLoss,Isolation,Bodyweight
Alternating heel-touch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00207,FatLoss,Isolation,Bodyweight
Suspended Reverse Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00208,Endurance,Isolation,Bodyweight
Lying bench reverse crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00209,Endurance,Compound,Bodyweight
Sit-up,Strength,Abdominals,Bodyweight,Intermediate,Core,E00210,FatLoss,Isolation,Bodyweight
Side Bridge,Strength,Abdominals,Bodyweight,Intermediate,Core,E00211,FatLoss,Isolation,Bodyweight
Lying oblique crunch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00212,FatLoss,Isolation,Bodyweight
Janda Sit-Up,Strength,Abdominals,Bodyweight,Beginner,Core,E00213,FatLoss,Isolation,Bodyweight
Leg Pull-In,Strength,Abdominals,Bodyweight,Beginner,Core,E00214,FatLoss,Compound,Bodyweight
Side Jackknife,Strength,Abdominals,Bodyweight,Intermediate,Core,E00215,Endurance,Isolation,Bodyweight
Seated Scissor Kick,Strength,Abdominals,Bodyweight,Intermediate,Core,E00216,FatLoss,Isolation,Bodyweight
Partner resistance standing twist,Strength,Abdominals,Bodyweight,Intermediate,Core,E00217,Endurance,Isolation,Bodyweight
Cross Crunch,Strength,Abdominals,Bodyweight,Beginner,Core,E00218,Endurance,Isolation,Bodyweight
Full Moon,Strength,Abdominals,Bodyweight,Beginner,Core,E00219,FatLoss,Isolation,Bodyweight
Hanging knee raise with manual resistance,Strength,Abdominals,Bodyweight,Beginner,Core,E00220,Endurance,Isolation,Bodyweight
Straight-Legged Hip Raise,Strength,Abdominals,Bodyweight,Intermediate,Core,E00221,Endurance,Isolation,Bodyweight
